id,user.id,user.login,user.observations_count,user.identifications_count,user.created_at,observed_on,place.id,city,location.lat,location.lon,mappable,taxon.id,taxon.name,taxon.rank,quality_grade
22440402,762240,rbelshee,10273,3117,2018-02-10T19:14:01+00:00,4/12/2019,NA,NA,33.95940665,-116.2291626,TRUE,532267,Rusavskia elegans,species,needs_id
22438863,209572,truthseqr,21726,16591,2016-04-03T21:40:29+00:00,4/13/2019,54321,San Francisco Bay Area,37.189732,-121.834221,TRUE,60724,Xanthoparmelia,genus,needs_id
22435000,802304,j_ora,4,0,2018-03-22T23:34:47+00:00,4/13/2019,139279,Sacramento Region,39.19545006,-120.2010344,TRUE,54623,Letharia,genus,casual
22434254,1405254,mybraincells,267,587,2018-12-28T18:20:36+00:00,4/12/2019,NA,NA,38.94079382,-122.5655605,TRUE,49578,Ramalina menziesii,species,research
22433720,875422,jaymollica,5,0,2018-04-22T16:55:34+00:00,4/13/2019,54321,San Francisco Bay Area,37.76610043,-122.4788943,TRUE,60561,Psoralea,genus,casual
22432872,1482894,rocklee,59,0,2019-02-19T22:33:54+00:00,4/13/2019,54321,San Francisco Bay Area,37.770486,-122.464609,TRUE,54758,Ramalina farinacea,species,needs_id
22429652,1596296,natureartist,7,0,2019-04-10T15:24:21+00:00,4/13/2019,NA,NA,38.805285,-123.575851,TRUE,127146,Usnea flavocardia,species,needs_id
22429211,1482894,rocklee,59,0,2019-02-19T22:33:54+00:00,4/13/2019,54321,San Francisco Bay Area,37.76893209,-122.4672633,TRUE,49578,Ramalina menziesii,species,research
22429092,18846,ouzel,2105,176,2013-07-08T21:41:36+00:00,4/13/2019,54321,San Francisco Bay Area,37.96584585,-122.2657947,TRUE,49578,Ramalina menziesii,species,research
22428130,1597354,ez054412,10,0,2019-04-10T20:47:29+00:00,4/13/2019,54321,San Francisco Bay Area,38.00590149,-122.586573,TRUE,54758,Ramalina farinacea,species,needs_id
22427827,18846,ouzel,2105,176,2013-07-08T21:41:36+00:00,4/13/2019,54321,San Francisco Bay Area,37.9658966,-122.2656445,TRUE,54613,Letharia vulpina,species,research
22425568,1580476,catankerous,29,0,2019-04-05T07:17:00+00:00,4/13/2019,NA,NA,39.40835483,-123.8138291,TRUE,117987,Graphis scripta,species,research
22424812,1580476,catankerous,29,0,2019-04-05T07:17:00+00:00,4/13/2019,NA,NA,39.40822628,-123.8128249,TRUE,117988,Hypogymnia,genus,needs_id
22424355,728167,jcampione,64,0,2017-12-06T19:09:00+00:00,4/13/2019,NA,NA,39.40817833,-123.8130033,TRUE,117988,Hypogymnia,genus,needs_id
22424217,728167,jcampione,64,0,2017-12-06T19:09:00+00:00,4/13/2019,NA,NA,39.40803667,-123.8129667,TRUE,155093,Cladonia coniocraea,species,needs_id
22420847,3090,zabbey,4565,4866,2011-09-28T22:59:43+00:00,4/12/2019,NA,NA,35.1349242,-119.8373322,TRUE,125055,Umbilicaria phaea,species,research
22420846,3090,zabbey,4565,4866,2011-09-28T22:59:43+00:00,4/12/2019,NA,NA,35.13492952,-119.8373322,TRUE,632126,Protoparmeliopsis muralis,species,needs_id
22420696,3090,zabbey,4565,4866,2011-09-28T22:59:43+00:00,4/12/2019,NA,NA,35.13470577,-119.8370479,TRUE,69163,Caloplaca,genus,needs_id
22419405,1554319,nhanla,43,0,2019-03-26T04:29:56+00:00,4/13/2019,54321,San Francisco Bay Area,37.18974032,-121.8411204,TRUE,125773,Porpidia albocaerulescens,species,needs_id
22418798,3090,zabbey,4565,4866,2011-09-28T22:59:43+00:00,4/12/2019,NA,NA,34.998522,-119.532449,TRUE,54757,Xanthoria,genus,needs_id
22418678,3090,zabbey,4565,4866,2011-09-28T22:59:43+00:00,4/12/2019,NA,NA,34.998471,-119.532357,TRUE,212280,Acarospora socialis,species,needs_id
22418012,1606113,alorozco,15,0,2019-04-13T16:09:57+00:00,4/13/2019,54321,San Francisco Bay Area,37.1924294,-121.8377845,TRUE,123175,Evernia prunastri,species,research
